Date,Team,Opp.,GF,GA,Result,GFax,GAax,GDax,PTSax,Win Prob.,xGF,xGA,xPts,Lg.
Nov 8,Bethel University,Minnesota State University Mankato,4,3,OT Win,0.14,-0.78,0.93,0.928,34.9,2.86,3.78,1.072,M2
Nov 8,University of Southern California,San Jose State University,6,9,Loss,3.43,6.17,-2.74,-1.364,45.1,2.57,2.83,1.364,M2
Nov 8,Boise State University,Loyola Marymount University,1,3,Loss,-3.26,-2.34,-0.92,-1.081,35.4,4.26,5.34,1.081,M2
Nov 8,Bowling Green State University,University of Kentucky,0,14,Loss,-0.98,7.55,-8.53,-0.041,1.1,0.98,6.45,0.041,M2
Nov 9,Montana State University,University of Saint Thomas,0,1,Loss,-3.96,-3.75,-0.22,-1.181,38.8,3.96,4.75,1.181,M2
Nov 9,Saint Johns University,University of Wisconsin Eau Claire,4,7,Loss,2.27,3.33,-1.06,-0.59,18.2,1.73,3.67,0.59,M2
Nov 9,University of Minnesota Crookston,University of Wisconsin,1,6,Loss,-1.12,2.33,-3.45,-0.768,24.3,2.12,3.67,0.768,M2
Nov 9,Adrian College,Indiana Tech,10,1,Win,4.46,-0.52,4.98,0.165,95.2,5.54,1.52,2.835,M2
Nov 9,University of Idaho,Western Washington University,3,6,Loss,1,2.56,-1.57,-0.797,25.3,2,3.44,0.797,M2
Nov 9,Marian University,Milwaukee School of Engineering,6,3,Win,1.2,1.88,-0.68,0.164,95.4,4.8,1.12,2.836,M2
Nov 9,Lake Superior State University,Concordia University of Wisconsin,2,4,Loss,0.11,1.37,-1.26,-1.088,35.3,1.89,2.63,1.088,M2
Nov 9,University of Delaware,University of Cincinnati,1,5,Loss,-1.21,0.29,-1.49,-0.492,15.2,2.21,4.71,0.492,M2
Nov 9,University of North Texas,Baylor University,6,3,Win,0.07,-0.28,0.35,0.55,82.7,5.93,3.28,2.45,M2
Nov 9,University of North Dakota,Gustavus Adolphus College,10,8,Win,4.89,1.85,3.03,1.88,36.8,5.11,6.15,1.12,M2
Nov 9,Saint Cloud State University,University of Minnesota Duluth,1,5,Loss,-2.25,1.47,-3.72,-1.369,45.4,3.25,3.53,1.369,M2
Nov 9,University of Wisconsin Milwaukee,DePaul University,4,1,Win,2.31,-5.11,7.42,2.859,4.1,1.69,6.11,0.141,M2
Nov 9,Michigan Technological University,University of Wisconsin Oshkosh,7,3,Win,2.66,0.6,2.06,0.667,79,4.34,2.4,2.333,M2
Nov 9,Liberty University,Lindenwood University,4,5,OT Loss,2.38,1.32,1.05,0.091,28.9,1.62,2.68,0.909,M2
Nov 9,Stockton University,Millersville University,2,3,Loss,0.02,-1.27,1.29,-0.522,16.1,1.98,4.27,0.522,M2
Nov 9,Schoolcraft College,Central Michigan University,8,4,Win,0.03,2.16,-2.13,0.045,98.7,7.97,1.84,2.955,M2
Nov 9,Montclair State University,Siena College,5,4,OT Win,1.08,0.59,0.5,0.738,41.6,2.92,3.41,1.262,M2
Nov 9,University of Denver,Metropolitan State University Denver,2,3,OT Loss,-2.79,-3.71,0.92,-0.153,37.9,4.79,5.71,1.153,M2
Nov 9,Princeton University,Saint Josephs University,0,13,Loss,-2.38,2.19,-4.57,-0.002,0.1,2.38,10.81,0.002,M2
Nov 9,Clarkson University,University of Connecticut,5,1,Win,1.28,-3.54,4.82,1.841,38,3.72,4.54,1.159,M2
Nov 9,University of Dayton,University of Michigan,3,6,Loss,1.15,1.88,-0.74,-0.513,15.8,1.85,4.12,0.513,M2
