Date,Team,Opp.,GF,GA,Result,GFax,GAax,GDax,PTSax,Win Prob.,xGF,xGA,xPts,Lg.
Feb 16,Bentley University,Merrimack College,2,8,Loss,-1.79,0.4,-2.19,-0.334,10.3,3.79,7.6,0.334,W2
Feb 17,Michigan State University,Adrian College,0,5,Loss,-3.9,-2.84,-1.07,-0.316,9.7,3.9,7.84,0.316,W2
Feb 17,University of Delaware,West Virginia University ,6,0,Win,-4.57,-3.57,-1,0.02,99.4,10.57,3.57,2.98,W2
Feb 17,Providence College,University of New Hampshire,4,0,Win,-4.4,-2.68,-1.72,0.082,97.6,8.4,2.68,2.918,W2
Feb 17,Mercyhurst University,University of Pittsburgh,3,2,Win,-4.65,-3.2,-1.45,0.678,78.3,7.65,5.2,2.322,W2
Feb 17,Lawrence Technological University,Robert Morris University,7,1,Win,-4.13,-2.74,-1.39,0.009,99.8,11.13,3.74,2.991,W2
Feb 17,Brockport State University,Oswego State University,6,2,Win,-3.61,-0.1,-3.51,0.012,99.7,9.61,2.1,2.988,W2
Feb 17,Assiniboine Community College,Dakota College at Bottineau,5,3,Win,-4.3,-1.74,-2.56,0.221,93.2,9.3,4.74,2.779,W2
Feb 17,The Ohio State University,Niagara University,1,3,Loss,-6.18,-2.85,-3.32,-1.967,66.2,7.18,5.85,1.967,W2
Feb 17,Iowa State University,University of Wisconsin LaCrosse,4,1,Win,-4.46,-3.96,-0.5,0.417,86.9,8.46,4.96,2.583,W2
Feb 17,Maryville University,Bowling Green State University,0,3,Loss,-4.82,-4.85,0.03,-0.522,16.5,4.82,7.85,0.522,W2
Feb 17,University of Pennsylvania,West Chester University,12,1,Win,0.43,-2.33,2.76,0.001,100,11.57,3.33,2.999,W2
Feb 17,Rochester Institute Of Technology,University at Buffalo,5,4,Win,1.06,-6.28,7.34,2.954,1.3,3.94,10.28,0.046,W2
Feb 17,Saint Anselm College,University of Vermont,5,4,Win,-0.3,-2.93,2.63,2.075,30.1,5.3,6.93,0.925,W2
Feb 17,University of Wisconsin Eau Claire,University of Saint Thomas,1,2,OT Loss,-3.87,-6.83,2.96,0.459,17.1,4.87,7.83,0.541,W2
Feb 18,Iowa State University,University of Wisconsin LaCrosse,2,1,Win,-6.46,-3.96,-2.5,0.417,86.9,8.46,4.96,2.583,W2
Feb 18,University of Wisconsin Eau Claire,University of Saint Thomas,0,8,Loss,-4.87,0.17,-5.04,-0.541,17.1,4.87,7.83,0.541,W2
Feb 18,University of New Hampshire,Saint Anselm College,0,4,Loss,-5.65,-3.21,-2.44,-0.954,31.1,5.65,7.21,0.954,W2
Feb 18,Northeastern University,University Of Connecticut,4,0,Win,-4.93,-2.29,-2.64,0.033,99.1,8.93,2.29,2.967,W2
Feb 18,Bentley University,College of the Holy Cross,9,6,Win,3.35,-0.48,3.84,1.803,39.5,5.65,6.48,1.197,W2
Feb 18,Maryville University,Bowling Green State University,1,5,Loss,-3.82,-2.85,-0.97,-0.522,16.5,4.82,7.85,0.522,W2
Feb 18,The Ohio State University,Niagara University,4,3,OT Win,-4.18,-2.85,-1.32,0.033,66.2,7.18,5.85,1.967,W2
